Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
17,829207.27,False,60.07,2.853,126.2346,6.885,2010,1,10,6
7,561145.14,False,38.26,2.725,189.7048215,8.963,2010,2,4,3
19,1549018.68,False,66.25,2.958,132.5218667,8.099,2010,2,7,6
13,2018314.71,False,78.82,2.814,126.1392,7.951,2010,2,7,6
2,2124451.54,False,39.69,2.514,210.9451605,7.659,2010,2,19,4
19,1427023.45,False,39.07,2.963,131.863129,8.35,2010,3,26,4
3,396968.8,False,78.53,2.705,214.4958382,7.343,2010,4,6,1
17,757738.76,False,45.22,2.915,126.5621,6.635,2010,4,16,4
5,298697.84,False,67.53,2.848,210.939388,7.659,2010,4,30,4
6,1498080.16,False,68.91,2.78,211.8942725,7.092,2010,4,30,4
3,461622.22,False,45.71,2.572,214.4248812,7.368,2010,5,2,6
1,1494251.5,False,74.78,2.854,210.3374261,7.808,2010,5,14,4
6,1644470.66,False,78.89,2.759,212.412888,7.092,2010,5,28,4
18,1256282.79,False,69.12,2.906,132.2939355,7.659,2010,5,28,4
18,1166117.85,False,73.67,2.792,132.6141935,9.342,2010,6,8,1
9,513073.87,False,82.99,2.637,215.0166484,6.384,2010,6,18,4
14,2248645.59,False,72.62,2.78,182.4424199,8.899,2010,6,18,4
3,364076.85,False,83.52,2.637,214.7858259,7.343,2010,6,18,4
9,509263.28,False,85.02,2.653,214.8965756,7.659,2010,6,25,4
20,1973135.87,False,75.17,2.808,204.5675459,7.856,2010,6,25,4
10,1768172.31,False,90.32,2.87,126.1266,9.524,2010,6,25,4
19,1366395.96,False,72.83,2.932,132.5983871,8.099,2010,7,30,4
5,268929.03,False,82.46,2.64,211.9270006,6.496,2010,7,30,4
1,1449142.92,False,85.22,2.619,211.5673056,7.787,2010,8,27,4
8,888816.78,False,74.92,2.619,214.9362793,6.315,2010,8,27,4
16,614253.33,False,61.79,2.711,189.5231276,6.868,2010,9,7,1
9,485389.15,False,78.51,2.642,214.6564301,6.442,2010,9,7,1
8,836707.85,False,75.32,2.582,214.8785562,6.315,2010,9,17,4
13,2461468.35,False,36.78,2.817,126.7934,7.795,2010,10,12,1
4,2302504.86,False,42.4,2.86,126.7934,7.127,2010,10,12,1
18,1029618.1,False,52.02,2.878,132.7633548,9.331,2010,10,15,4
17,845252.21,False,57.14,2.841,126.1119032,7.659,2010,11,6,5
